J11A 1.02185960453 1.68740694343
K11A 1.00750163305 1.68537072063
L09A 0.986779795925 1.68898657039
L15A 1.00872945184 1.66038467259
M12A 0.98338091228 1.67005223071
N14A 0.978508728876 1.65724995426
O12A 0.960263457735 1.66229325287
P13A 0.946932640055 1.6529908474
P14A 0.95233749963 1.64932151922
Q13A 0.936365271049 1.65039357725
Q15A 0.942605288082 1.64134769977
R12A 0.92296507577 1.65004778143
R15A 0.926594703249 1.635852318
T14A 0.901636703539 1.63345252945
T16A 0.904315814747 1.62404454267
U16A 0.888196428902 1.61664154065
U17A 0.898946876527 1.61684095105
Z16A 0.833987020447 1.60156830837
DUG 0.966119192411 1.65124608718
WUAZ 0.875271622352 1.61419786082
OR002 1.04756972378 1.70805870911
OR035 1.01757503032 1.71283685044
OR059 1.00997047121 1.70801931699
OR061 1.00708363428 1.7130869677
OR074 1.00384052103 1.70803850251
OR088 1.00655893047 1.69252399596
SNPC7 0.936726462332 1.68965577703
E060 1.06876593403 1.73607398435
